"bse_scrip_name","nse_scrip_name","sector","company_name","bse_price","nse_price","bse_volume","nse_volume","sentimeter_score","market_cap_in_cr","pe","book_value","dividend_perc","market_lot","industry_pe","eps","pc","price_by_bookvalue","div_yield_perc","face_value","deliverables_perc","sma_30_50_150_200_bse","sma_30_50_150_200_bse",", master_url"
"524208 ","AARTIIND ","CHEMICALS","Aarti Industries","496.15","496.15","9,102","69,524","87%","4,133.94","18.98","108.64","110.00%","1","20.04","26.14","13.95","4.57","1.11%","5.00",NA,"515.02, 508.91, 411.16, 389.20","515.02, 508.91, 411.16, 389.20","http://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45"
"514274 ","AARVEEDEN ","TEXTILES - DENIM","Aarvee Denim and Exports","65.40","64.80","3,586","3,759","NA","153.43","62.88","109.10","0.00%","1","20.52","1.04","4.63","0.60","-%","10.00",NA,"55.63, 55.23, 51.42, 50.60","55.63, 55.23, 51.42, 50.60","http://www.moneycontrol.com/india/stockpricequote/textilesdenim/aarveedenimexports/ADE"
"531731 "," ","TEXTILES - WOOLLEN & WORSTED","Aarya Global Shares and Securities","1.73","NA","1,922,787","NA","75%","3.75","2.98","14.41","0.00%","1","19.95","0.58","2.98","0.12","-%","10.00",NA,"2.11, 2.51, 13.28, 16.68","2.11, 2.51, 13.28, 16.68","http://www.moneycontrol.com/india/stockpricequote/textileswoollenworsted/aaryaglobalsharessecurities/KIF02"
"519319 "," ","VANASPATI & OILS","Aashee Infotech","NA","NA","NA","NA","NA","0.00","-","4.29","0.00%","1","21.04","0.36","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/vanaspatioils/aasheeinfotech/SRO01"
"531514 "," ","FINANCE - INVESTMENTS","Aasheesh Securities","NA","NA","NA","NA","NA","0.00","-","1.02","0.00%","1","23.87","-","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/financeinvestments/aasheeshsecurities/AS12"
"512038 "," ","TRADING","Aaswa Trading and Exports","NA","NA","NA","NA","NA","0.00","-","21.84","0.00%","50","20.71","-","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/trading/aaswatradingexports/ATE02"
" "," ","","AB Corp","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"","","http://www.moneycontrol.com/india/stockpricequote/abcorp/abcorp/ABC05"
"500303 ","ABIRLANUVO ","DIVERSIFIED","Aditya Birla Nuvo","2122.00","2106.05","19,651","281,615","100%","27,619.77","55.49","654.51","70.00%","1","45.69","38.24","40.20","3.24","0.33%","10.00",NA,"2076.92, 2100.70, 1980.97, 1912.21","2076.92, 2100.70, 1980.97, 1912.21","http://www.moneycontrol.com/india/stockpricequote/diversified/adityabirlanuvo/ABN01"
"508987 "," ","COMPUTERS - SOFTWARE MEDIUM & SMALL","Abacus Computers","NA","NA","NA","NA","NA","0.00","-","-0.11","0.00%","1","21.04","0.02","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/abacuscomputers/AC"
"523204 ","ABAN ","OIL DRILLING AND EXPLORATION","Aban Offshore","219.05","218.40","238,556","908,090","83%","1,278.49","5.39","490.33","180.00%","1","12.02","40.65","4.02","0.45","1.64%","2.00",NA,"223.87, 228.77, 290.12, 333.26","223.87, 228.77, 290.12, 333.26","http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/abanoffshore/AO04"
"500002 ","ABB ","INFRASTRUCTURE - GENERAL","ABB India","1166.20","1170.00","5,401","38,928","83%","24,712.75","97.02","132.70","185.00%","1","38.67","12.02","67.25","8.79","0.32%","2.00",NA,"1210.20, 1167.59, 1270.90, 1287.54","1210.20, 1167.59, 1270.90, 1287.54","http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abbindia/ABB"
"500488 ","ABBOTINDIA ","PHARMACEUTICALS","Abbott India","5206.95","5217.90","249","1,015","75%","11,064.41","60.31","441.20","310.00%","1","36.22","86.34","55.77","11.80","0.60%","10.00",NA,"5361.73, 5485.11, 4646.50, 4458.16","5361.73, 5485.11, 4646.50, 4458.16","http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51"
"505665 ","ANTFRIBEAR ","BEARINGS","ABC Bearings","127.00","NA","8,646","NA","NA","146.69","32.07","107.59","20.00%","1","36.19","3.96","9.00","1.18","1.57%","10.00",NA,"123.79, 117.62, 117.88, 121.89","123.79, 117.62, 117.88, 121.89","http://www.moneycontrol.com/india/stockpricequote/bearings/abcbearings/ABC02"
"513119 "," ","METALS - NON FERROUS","ABC Gas International","17.70","NA","200","NA","NA","3.50","31.05","11.68","0.00%","1","59.84","0.57","19.89","1.52","-%","10.00",NA,"21.05, 22.90, 19.27, 0.00","21.05, 22.90, 19.27, 0.00","http://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/abcgasinternational/BE05"
"520123 "," ","TRANSPORT & LOGISTICS","ABC India","91.00","NA","2,770","NA","NA","49.30","25.78","91.10","0.00%","1","23.06","3.53","5.90","1.00","-%","10.00",NA,"93.68, 93.70, 99.31, 99.72","93.68, 93.70, 99.31, 99.72","http://www.moneycontrol.com/india/stockpricequote/transportlogistics/abcindia/ABC"
"526699 "," ","PLASTICS","Abco Plastics","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"","","http://www.moneycontrol.com/india/stockpricequote/plastics/abcoplastics/AP17"
"530833 "," ","COMPUTERS - HARDWARE","Abee Printer Ribbons","NA","NA","NA","NA","NA","0.00","-","3.69","0.00%","1","23.72","-","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/computershardware/abeeprinterribbons/APR01"
"520155 ","ABGHEAVY ","ENGINEERING","ABG Infralogistics","172.00","NA","450","NA","NA","205.83","-","165.86","0.00%","1","40.82","-","15.25","1.04","-%","10.00",NA,"160.47, 157.06, 177.23, 175.01","160.47, 157.06, 177.23, 175.01","http://www.moneycontrol.com/india/stockpricequote/engineering/abginfralogistics/ABG02"
"532682 ","ABGSHIP ","SHIPPING","ABG Shipyard","69.90","69.95","89,276","439,948","79%","377.68","-","93.85","0.00%","1","33.92","-","-","0.74","-%","10.00",NA,"104.94, 119.76, 153.81, 170.05","104.94, 119.76, 153.81, 170.05","http://www.moneycontrol.com/india/stockpricequote/shipping/abgshipyard/ABG01"
"532057 "," ","FINANCE - GENERAL","Abhinav Capital Services","94.00","NA","1","NA","NA","65.09","20.75","23.52","0.00%","1","23.87","4.53","20.39","4.00","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/financegeneral/abhinavcapitalservices/ACS04"
"538952 "," ","FINANCE - LEASING & HIRE PURCHASE","Abhinav Leasing & Finance","19.40","NA","1","NA","NA","96.96","-","1.10","0.00%","1","23.87","-","-","17.64","-%","1.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/abhinavleasingfinance/ALF03"
"532831 ","ABHISHEK ","TEXTILES - SPINNING - COTTON BLENDED","Abhishek Corporation","1.90","NA","345","NA","NA","3.04","-","-192.13","0.00%","1","16.89","-","-","-","-%","10.00",NA,"1.76, 1.57, 0.00","1.76, 1.57, 0.00","http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/abhishekcorporation/AC22"
"538935 "," ","FINANCE - LEASING & HIRE PURCHASE","Abhishek Finlease","3.15","NA","5","NA","NA","1.34","45.00","8.85","0.00%","1","23.87","0.07","16.58","0.36","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/abhishekfinlease/AF32"
"511756 "," ","FINANCE - LEASING & HIRE PURCHASE","Abirami Financial Services (India)","11.97","NA","1,000","NA","NA","7.18","63.00","14.36","0.00%","1","23.87","0.19","22.17","0.83","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/abiramifinancialservicesindia/AFS"
"526955 "," ","PHARMACEUTICALS","ABL Biotechnologies ","1.12","NA","40,493","NA","NA","0.92","-","17.81","0.00%","1","36.22","-","-","0.06","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ablbiotechnologies/ABL"
"531161 "," ","COMPUTERS - SOFTWARE MEDIUM & SMALL","ABM Knowledgeware","265.00","NA","7,041","NA","NA","265.03","15.10","86.15","20.00%","1","21.04","17.55","13.75","3.08","0.75%","10.00",NA,"255.99, 230.84, 207.12, 197.59","255.99, 230.84, 207.12, 197.59","http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/abmknowledgeware/ABM"
"515103 "," ","CERAMICS & GRANITE","ABN Granites","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"","","http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/abngranites/ABN"
"524011 "," ","PHARMACEUTICALS","Abner Pharma","NA","NA","NA","NA","NA","0.00","-","11.67","0.00%","1","36.22","-","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abnerpharma/AP01"
"500410 ","ACC ","CEMENT - MAJOR","ACC","1347.00","1344.25","9,442","319,108","NA","25,316.87","31.15","438.18","340.00%","1","32.22","43.24","18.48","3.07","2.52%","10.00",NA,"1368.16, 1364.19, 1409.51, 1459.32","1368.16, 1364.19, 1409.51, 1459.32","http://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06"
"532774 ","AFL ","COMPUTERS - SOFTWARE MEDIUM & SMALL","Accel Frontline","77.60","77.75","6,489","16,364","NA","230.95","-","38.32","0.00%","1","21.04","-","-","2.03","-%","10.00",NA,"79.47, 76.14, 78.14, 77.08","79.47, 76.14, 78.14, 77.08","http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accelfrontline/AF29"
"517494 "," ","COMPUTERS - HARDWARE","Accel Transmatic","8.40","NA","1,250","NA","NA","9.27","-","-14.93","0.00%","1","23.72","-","-","-","-%","10.00",NA,"7.62, 7.51, 9.15, 9.13","7.62, 7.51, 9.15, 9.13","http://www.moneycontrol.com/india/stockpricequote/computershardware/acceltransmatic/AT17"
"532268 ","ACCELYA ","COMPUTERS - SOFTWARE MEDIUM & SMALL","Accelya Kale Solutions","924.25","927.50","315","1,396","100%","1,379.56","20.00","63.35","360.00%","1","21.04","46.21","16.77","14.59","3.90%","10.00",NA,"935.84, 944.03, 980.07, 974.31","935.84, 944.03, 980.07, 974.31","http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accelyakalesolutions/KAL"
"531897 "," ","COMPUTERS - SOFTWARE MEDIUM & SMALL","Accentia Technologies","NA","NA","NA","NA","NA","0.00","-","103.98","0.00%","1","21.04","-","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accentiatechnologies/AT19"
"526347 "," ","PACKAGING","Acclaim Industries","0.63","NA","2,300","NA","100%","0.32","-","-10.78","0.00%","1","24.23","-","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/packaging/acclaimindustries/EP12"
"531905 "," ","TRADING","Accurate Exports","NA","NA","NA","NA","NA","0.00","-","9.96","0.00%","1","20.71","* -","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/trading/accurateexports/AE12"
"530513 "," ","ELECTRIC EQUIPMENT","Accurate Transformers","23.30","NA","5","NA","NA","6.92","9.59","187.54","0.00%","1","34.69","2.43","4.79","0.12","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/electricequipment/accuratetransformers/ATL03"
"530093 "," ","FINANCE - INVESTMENTS","ACE Edutrend","2.03","NA","3,035","NA","NA","1.86","-","14.26","0.00%","1","45.38","-","0.48","0.14","-%","10.00",NA,"2.80, 3.14, 4.05, 3.63","2.80, 3.14, 4.05, 3.63","http://www.moneycontrol.com/india/stockpricequote/financeinvestments/aceedutrend/AIF"
"526077 ","ACELAB ","PHARMACEUTICALS","Ace Laboratories","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"","","http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/acelaboratories/AL01"
"531525 "," ","COMPUTERS - SOFTWARE MEDIUM & SMALL","Ace Software Exports","17.92","NA","659","NA","NA","8.39","11.64","33.30","0.00%","1","21.04","1.54","6.29","0.54","-%","10.00",NA,"15.51, 14.45, 11.61, 0.00","15.51, 14.45, 11.61, 0.00","http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/acesoftwareexports/ASE02"
"532506 "," ","COMPUTERS - SOFTWARE MEDIUM & SMALL","Ace Software","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"","","http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/acesoftware/AS23"
"515133 "," ","CERAMICS & GRANITE","Ace Stonecraft","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"","","http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/acestonecraft/ASL02"
"536492 "," ","MISCELLANEOUS","Ace Tours Worldwide","4.94","NA","8,000","NA","NA","6.26","-","14.96","0.00%","4000","57.16","* -","-","0.33","-%","10.00",NA,"4.87, 0.00","4.87, 0.00","http://www.moneycontrol.com/india/stockpricequote/miscellaneous/acetoursworldwide/ATW"
"538570 "," ","MISCELLANEOUS","Achal Investments","43.00","NA","3,200","NA","NA","264.44","4,300.00","0.54","0.00%","1","23.87","0.01","4,300.00","79.63","-%","1.00",NA,"43.33, 45.49, 0.00","43.33, 45.49, 0.00","http://www.moneycontrol.com/india/stockpricequote/miscellaneous/achalinvestments/AI68"
"517356 "," ","COMPUTERS - HARDWARE","ACI Infocom","7.97","NA","4,750","NA","NA","88.06","-","1.46","0.00%","1","28.63","* -","-","5.46","-%","1.00",NA,"9.33, 8.94, 8.03, 7.58","9.33, 8.94, 8.03, 7.58","http://www.moneycontrol.com/india/stockpricequote/computershardware/aciinfocom/ACI07"
"530901 "," ","TEXTILES - SPINNING - COTTON BLENDED","ACIL Cotton Industries","0.10","NA","186,600","NA","NA","2.22","-","0.45","0.00%","1","16.89","-","-","0.22","-%","1.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/acilcottonindustries/ACI14"
"530043 "," ","TEXTILES - HOSIERY & KNITWEAR","Acknit Knitting","100.00","NA","1,306","NA","100%","25.20","8.80","108.82","15.00%","1","33.78","11.36","5.84","0.92","1.50%","10.00",NA,"71.63, 67.84, 63.98, 62.06","71.63, 67.84, 63.98, 62.06","http://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/acknitknitting/AK"
"514356 "," ","MISCELLANEOUS","Acme Fluoro Polymers","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"","","http://www.moneycontrol.com/india/stockpricequote/miscellaneous/acmefluoropolymers/AFP01"
"526514 "," ","STEEL - MEDIUM & SMALL","Acme Industries","NA","NA","NA","NA","NA","0.00","-","10.00","0.00%","1","0.73","* -","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/acmeindustries/AI02"
"539391 "," ","FINANCE - INVESTMENTS","Acme Resources","12.50","NA","50","NA","NA","32.18","9.06","27.97","0.00%","1","23.87","1.38","8.87","0.45","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/financeinvestments/acmeresources/AR9"
"514342 "," ","TEXTILES - SPINNING - COTTON BLENDED","Acme Spinners","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"","","http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/acmespinners/ASL01"
"512628 "," ","AQUACULTURE","Acquaint Exports","NA","NA","NA","NA","NA","0.00","-","2.00","0.00%","100","10.76","* -","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/aquaculture/acquaintexports/AE"
"533330 ","ACROPETAL ","COMPUTERS - SOFTWARE","Acropetal Technologies","2.71","2.75","38,043","7,933","NA","10.54","-","5.90","0.00%","1","21.04","-","-","0.46","-%","10.00",NA,"2.81, 2.82, 2.86, 2.92","2.81, 2.82, 2.86, 2.92","http://www.moneycontrol.com/india/stockpricequote/computerssoftware/acropetaltechnologies/AT21"
"513149 "," ","CONSTRUCTION & CONTRACTING - CIVIL","Acrow (India)","90.30","NA","1","NA","NA","5.78","410.45","151.44","0.00%","1","25.58","0.22","18.39","0.60","-%","10.00",NA,"109.29, 105.16, 0.00","109.29, 105.16, 0.00","http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/acrowindia/AI03"
"524091 "," ","PLASTICS","Acrysil (India)","640.00","NA","1,480","NA","100%","332.09","41.37","91.26","40.00%","1","37.23","15.47","28.58","7.01","0.63%","10.00",NA,"678.55, 680.07, 621.76, 603.13","678.55, 680.07, 621.76, 603.13","http://www.moneycontrol.com/india/stockpricequote/plastics/acrysilindia/AI04"
"532762 ","ACE ","ENGINEERING - HEAVY","Action Construction Equipment","47.30","47.15","251,065","903,649","100%","467.99","63.92","25.84","10.00%","1","30.82","0.74","27.82","1.83","0.42%","2.00",NA,"43.96, 41.87, 41.81, 41.42","43.96, 41.87, 41.81, 41.42","http://www.moneycontrol.com/india/stockpricequote/engineeringheavy/actionconstructionequipment/ACE3"
"511706 "," ","FINANCE - INVESTMENTS","Action Financial Services (India)","6.16","NA","9","NA","NA","7.70","-","20.27","0.00%","1","23.87","-","18.12","0.30","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/financeinvestments/actionfinancialservicesindia/AFS01"
"512141 "," ","FINANCE - INVESTMENTS","Acumen Trading & Investments","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"","","http://www.moneycontrol.com/india/stockpricequote/financeinvestments/acumentradinginvestments/ATI01"
"511359 "," ","FINANCE - LEASING & HIRE PURCHASE","Ad Manum Finance","24.50","NA","1","NA","NA","18.38","31.01","59.27","10.00%","1","23.87","0.79","18.85","0.41","4.08%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/admanumfinance/AMF01"
"526177 "," ","COMPUTERS - SOFTWARE MEDIUM & SMALL","Adam Comsof","NA","NA","NA","NA","NA","0.00","-","35.49","0.00%","1","21.04","5.17","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/adamcomsof/AC01"
"512599 ","ADANIENT ","TRADING","Adani Enterprises","82.30","82.40","367,513","1,511,509","67%","9,051.44","18.92","93.45","140.00%","1","20.71","4.35","16.17","0.88","1.70%","1.00",NA,"85.34, 83.26, 203.25, 315.46","85.34, 83.26, 203.25, 315.46","http://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13"
"532921 ","ADANIPORTS ","INFRASTRUCTURE - GENERAL","Adani Ports and Special Economic Zone","268.20","267.70","235,433","4,828,780","81%","55,542.93","19.81","54.08","55.00%","1","27.37","13.54","16.87","4.96","0.41%","2.00",NA,"290.51, 301.52, 319.05, 319.32","290.51, 301.52, 319.05, 319.32","http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adaniportsspecialeconomiczone/MPS"
"533096 ","ADANIPOWER ","POWER - GENERATION & DISTRIBUTION","Adani Power","30.75","30.70","743,158","4,722,690","75%","9,027.70","59.13","26.50","0.00%","1","11.40","0.52","8.74","1.16","-%","10.00",NA,"29.45, 27.67, 30.06, 35.18","29.45, 27.67, 30.06, 35.18","http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanipower/AP11"
"539254 ","ADANITRANS ","MISCELLANEOUS","Adani Transmission","38.70","38.70","360,873","2,320,151","100%","4,256.27","-","9.84","0.00%","1","17.02","* -","-","3.93","-%","10.00",NA,"35.33, 32.22, 0.00","35.33, 32.22, 0.00","http://www.moneycontrol.com/india/stockpricequote/miscellaneous/adanitransmission/AT22"
"506225 ","ADARSHCHEM ","FERTILISERS","Adarsh Chemicals and Fertilisers","NA","NA","NA","NA","NA","0.00","-","-49.00","0.00%","100","12.16","* -","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/fertilisers/adarshchemicalsfertilisers/ACF"
"538563 "," ","MISCELLANEOUS","Adarsh Mercantile","NA","NA","NA","NA","NA","0.00","-","15.20","0.00%","1","20.71","0.58","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/miscellaneous/adarshmercantile/AM12"
"526711 "," ","PUMPS","Adarsh Plantation Projects","4.37","NA","500","NA","NA","4.33","-","2.61","0.00%","1","33.52","-","-","1.67","-%","10.00",NA,"5.45, 0.00","5.45, 0.00","http://www.moneycontrol.com/india/stockpricequote/pumps/adarshplantationprojects/APP01"
"523411 ","KRONECOMM ","TELECOMMUNICATIONS - EQUIPMENT","ADC India Communications","302.10","NA","1,822","NA","100%","138.97","28.83","79.58","300.00%","1","16.29","10.48","25.89","3.80","9.93%","10.00",NA,"290.20, 291.24, 300.70, 294.05","290.20, 291.24, 300.70, 294.05","http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/adcindiacommunications/KC07"
"538734 "," ","COMPUTERS - SOFTWARE","ADCC Infocad","68.00","NA","6,000","NA","100%","61.61","-","40.72","7.50%","3000","21.04","* -","-","1.67","1.10%","10.00",NA,"69.02, 67.41, 0.00","69.02, 67.41, 0.00","http://www.moneycontrol.com/india/stockpricequote/computerssoftware/adccinfocad/AI28"
"511670 "," ","FINANCE - INVESTMENTS","Adcon Capital Services","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"","","http://www.moneycontrol.com/india/stockpricequote/financeinvestments/adconcapitalservices/ACS03"
"524665 "," ","PHARMACEUTICALS","Add-Life Pharma","NA","NA","NA","NA","NA","0.00","-","9.73","0.00%","1","36.22","* -","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/addlifepharma/ALP"
"507852 "," ","TEXTILES - HOSIERY & KNITWEAR","Addi Industries","4.01","NA","400","NA","NA","4.33","2.25","17.68","0.00%","1","33.78","1.78","1.81","0.23","-%","5.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/addiindustries/AI05"
