"bse_scrip_name","nse_scrip_name","sector","company_name","bse_price","nse_price","bse_volume","nse_volume","sentimeter_score","market_cap_in_cr","pe","book_value","dividend_perc","market_lot","industry_pe","eps","pc","price_by_bookvalue","div_yield_perc","face_value","deliverables_perc","sma_30_50_150_200_bse","sma_30_50_150_200_nse","master_url"
"535141 "," ","CONSTRUCTION & CONTRACTING - REAL ESTATE","Sunstar Realty Development","38.80","NA","324,000","NA","NA","916.57","-","1.89","0.00%","3000","25.58","* -","-","20.53","-%","1.00",NA,"39.20, 38.76, 37.57, 38.09",", , , ","http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/sunstarrealtydevelopment/SRD"
"530575 "," ","COMPUTERS - SOFTWARE MEDIUM & SMALL","Sunstar Software Systems","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/sunstarsoftwaresystems/SSS03"
" ","SUNSTRCHEM ","CHEMICALS","Sunstar Chemicals","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/chemicals/sunstarchemicals/SC38"
"512179 ","SUNTECK ","CONSTRUCTION & CONTRACTING - REAL ESTATE","Sunteck Realty","240.00","238.60","16,015","40,458","NA","1,511.19","21.18","92.13","50.00%","1","25.58","11.33","20.98","2.61","0.42%","2.00",NA,"223.43, 221.00, 247.76, 253.82","223.17, 220.72, 247.48, 253.65","http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/sunteckrealty/SR05"
"531794 "," ","COMPUTERS - SOFTWARE MEDIUM & SMALL","Supan Syntech","NA","NA","NA","NA","NA","0.00","-","0.97","0.00%","1","21.04","0.02","-","-","-%","10.00",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/supansyntech/SS38"
"530735 "," ","MISCELLANEOUS","Super Bakers (India)","12.20","NA","6,350","NA","NA","3.69","-","9.25","0.00%","1","48.30","-","-","1.32","-%","10.00",NA,"12.86, 11.76, 0.00",", , , ","http://www.moneycontrol.com/india/stockpricequote/miscellaneous/superbakersindia/SBI09"
"530883 "," ","PESTICIDES & AGRO CHEMICALS","Super Crop Safe","24.75","NA","8,229","NA","NA","14.11","19.04","13.05","5.00%","1","33.33","1.30","10.44","1.90","2.02%","10.00",NA,"21.22, 19.16, 17.98, 18.48",", , , ","http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/supercropsafe/SCS03"
"531699 "," ","DOMESTIC APPLIANCES","Super Domestic Machines","41.95","NA","12,589","NA","100%","18.16","-","6.59","0.00%","1","48.62","-","-","6.37","-%","10.00",NA,"40.12, 37.44, 72.10, 0.00",", , , ","http://www.moneycontrol.com/india/stockpricequote/domesticappliances/superdomesticmachines/SDM01"
"513277 ","SUPERFORGE ","STEEL - MEDIUM & SMALL","Super Forgings","NA","NA","NA","NA","NA","0.00","-","-32.75","0.00%","1","100.50","-","-","-","-%","10.00",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/superforgings/SF16"
"512527 ","SUPER ","TEXTILES - SPINNING - COTTON BLENDED","Super Sales India","416.00","NA","1,411","NA","NA","127.77","5.57","343.46","25.00%","1","16.89","74.69","3.68","1.21","0.60%","10.00",NA,"366.99, 347.62, 325.49, 314.17",", , , ","http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/supersalesindia/SSI13"
"521180 ","SUPERSPIN ","TEXTILES - SPINNING - COTTON BLENDED","Super Spinning Mills","7.20","7.05","6,763","21,656","NA","39.60","-","11.04","0.00%","1","16.89","-","-","0.65","-%","1.00",NA,"7.42, 7.60, 8.49, 7.99","7.37, 7.55, 8.44, 7.97","http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/superspinningmills/SSM07"
